Date,MSFT - Adj Close,QQQ - Adj Close,SPY - Adj Close,MSFT - Log Return,QQQ - Log Return,SPY - Log Return,MSFT - Cumulative Return,QQQ - Cumulative Return,SPY - Cumulative Return
2018-05-30,92.15375518798828,162.3460235595703,243.66455078125,,,,,,
2018-05-31,92.05128479003906,162.24107360839844,242.17189025878906,-0.001112568999538218,-0.0006466674476273402,-0.0061447231742107235,-0.0011119503241098228,-0.0006464584032965792,-0.006125882971794949
2018-06-01,93.86736297607422,164.7882080078125,244.54953002929688,0.019536888552045256,0.01557772377496506,0.009770100860482044,0.018595094519917144,0.015043081405354375,0.0036319573167677976
2018-06-04,94.68694305419922,166.27639770507812,245.71145629882812,0.008693360093303484,0.008990388555031273,0.004740040417021502,0.027488710156665874,0.024209857804528445,0.008400505986674078
2018-06-05,95.17120361328125,166.79153442382812,245.89022827148438,0.005101299235785051,0.003093285662242074,0.0007273041820145642,0.03274362959097599,0.027382936562204252,0.009134186663994903
2018-06-06,95.45059204101562,167.7645721435547,247.9459991455078,0.0029313397960081164,0.00581690451494846,0.008325767269005621,0.035775393485615314,0.03337654021440284,0.017571076098392036
2018-06-07,93.95115661621094,166.40036010742188,247.91920471191406,-0.01583371602247073,-0.008164947805008546,-0.000108071441236,0.019504375318792455,0.024973426875243954,0.017461111667752105
2018-06-08,94.64966583251953,166.409912109375,248.65211486816406,0.007407310329485699,5.740208613231582e-05,0.002951884893640912,0.027084199004584697,0.02503226417685256,0.02046897700516004
2018-06-11,94.1094970703125,166.8583221435547,248.98272705078125,-0.005723380295065837,0.002690987371048863,0.0013287342581745193,0.02122259563199158,0.027794327726965884,0.021825810330143858
2018-06-12,94.35163116455078,167.7359619140625,249.30465698242188,0.002569593313343304,0.00524600583504588,0.0012921458048051095,0.02385009674406624,0.033200310277476275,0.023147011672761897
2018-06-13,93.92323303222656,167.7264404296875,248.50912475585938,-0.004550781364060457,-5.676632797611632e-05,-0.003196106387363169,0.019201364509006336,0.033141660954467245,0.019882145183107047
2018-06-14,94.45410919189453,169.42449951171875,249.13475036621094,0.005636320789012106,0.010073075521373197,0.002514352014467129,0.024962129858014714,0.0436011661816349,0.022449714443164348
2018-06-15,93.25267028808594,168.8330078125,248.81695556640625,-0.01280140562148063,-0.0034972900189407987,-0.0012764082908638434,0.011924800002516722,0.0399577649682894,0.021145483693201905
2018-06-18,93.93254089355469,168.73550415039062,248.30517578125,0.007264180656261616,-0.0005776822266625007,-0.0020589707586360483,0.019302368112268375,0.03935717334324362,0.01904513801913743
2018-06-19,93.93254089355469,168.25750732421875,247.35350036621094,0.0,-0.0028368371477058693,-0.003840048122969612,0.019302368112268375,0.03641286454102355,0.015139459445919767
2018-06-20,94.87317657470703,169.4525146484375,247.7754364013672,0.00996414172481929,0.007077150420359921,0.0017043485280727366,0.02950961012029607,0.04377373053587341,0.0168710861179302
2018-06-21,94.19332122802734,167.98028564453125,246.22213745117188,-0.007191737138161867,-0.008726112841005254,-0.006288711327950666,0.022132207590222164,0.034705266944179414,0.0104963428685938
2018-06-22,93.51348114013672,167.607421875,246.671142578125,-0.007243669935819458,-0.002222154832307807,0.0018219167083308118,0.01475497063982556,0.03240854441685226,0.012339061169280185
2018-06-25,91.63219451904297,163.8312225341797,243.31321716308594,-0.02032293074020935,-0.02278770331497608,-0.01370647008822626,-0.005659678955907577,0.009148354496434141,-0.001441874154601397
2018-06-26,92.27478790283203,164.50038146972656,243.8519287109375,0.006988271902050351,0.004076122151385929,0.002211618675906958,0.0013133780017628993,0.013270161245222845,0.0007689995491209078
2018-06-27,90.8405990600586,162.2633056640625,241.831787109375,-0.01566463849182841,-0.013692529771346803,-0.008318801663072414,-0.014249621464159756,-0.000509515993642129,-0.007521667251139452
2018-06-28,91.855712890625,163.65908813476562,243.21441650390625,0.011112695885795209,0.008565173982455772,0.005701036845812162,-0.003234185050357441,0.008088061206583896,-0.0018473523370571288
2018-06-29,91.83708190917969,164.09889221191406,243.5645751953125,-0.00020284934452118592,0.002683714005381218,0.0014386765155175053,-0.0034363578365592673,0.010797114791669449,-0.00041030008516595995
2018-07-02,93.14094543457031,165.19830322265625,244.0854034423828,0.014097729755754695,0.006677342600702783,0.002136074922272129,0.010712425604015863,0.01756913782393532,0.0017271805019789532
